run_id,timestamp_utc,mode,scenario,schema_variant,llm_round_trips,tool_call_count,total_latency_ms,tool_latency_ms_sum,had_error
1783186051124-1f9770e8,2026-07-04T17:27:31Z,function_calling,bajo,baseline,2,1,4461.86,58.7,False
1783186054672-c9a098f3,2026-07-04T17:27:34Z,function_calling,bajo,baseline,2,1,3536.35,44.08,False
1783186057974-f56a0b72,2026-07-04T17:27:37Z,function_calling,bajo,baseline,2,1,3291.18,40.44,False
1783186061785-8850bf93,2026-07-04T17:27:41Z,function_calling,bajo,baseline,2,1,3801.85,34.08,False
1783186065390-118e54bd,2026-07-04T17:27:45Z,function_calling,bajo,baseline,2,1,3592.5,36.04,False
1783186070985-623dd772,2026-07-04T17:27:50Z,mcp,bajo,baseline,2,1,3668.29,59.4,False
1783186075665-f96f9b65,2026-07-04T17:27:55Z,mcp,bajo,baseline,2,1,4418.76,54.2,False
1783186080231-c766241c,2026-07-04T17:28:00Z,mcp,bajo,baseline,2,1,4306.02,76.02,False
1783186084851-abd704d3,2026-07-04T17:28:04Z,mcp,bajo,baseline,2,1,4347.33,78.73,False
1783186089658-c07b2b42,2026-07-04T17:28:09Z,mcp,bajo,baseline,2,1,4518.49,78.92,False
1783186099722-cdbf3282,2026-07-04T17:28:19Z,function_calling,medio,baseline,3,2,8399.09,153.89,False
1783186108325-e8483592,2026-07-04T17:28:28Z,function_calling,medio,baseline,3,2,8593.04,80.43,False
1783186116253-80286a78,2026-07-04T17:28:36Z,function_calling,medio,baseline,3,2,7917.71,82.24,False
1783186124777-aa9fef6a,2026-07-04T17:28:44Z,function_calling,medio,baseline,3,2,8512.12,70.16,False
1783186132317-6086f773,2026-07-04T17:28:52Z,function_calling,medio,baseline,3,2,7527.25,76.2,False
1783186142037-cd4df9f1,2026-07-04T17:29:02Z,mcp,medio,baseline,3,2,7913.2,98.33,False
1783186150805-46425e66,2026-07-04T17:29:10Z,mcp,medio,baseline,3,2,8480.2,102.17,False
1783186160873-e136c3ef,2026-07-04T17:29:20Z,mcp,medio,baseline,3,2,9854.88,96.25,False
1783186170375-2023ee49,2026-07-04T17:29:30Z,mcp,medio,baseline,3,2,9314.81,90.59,False
1783186179114-279d09b6,2026-07-04T17:29:39Z,mcp,medio,baseline,3,2,8516.61,105.43,False
1783186189258-bfb93b89,2026-07-04T17:29:49Z,function_calling,alto,baseline,3,3,8571.59,209.48,False
1783186197783-94bef704,2026-07-04T17:29:57Z,function_calling,alto,baseline,3,3,8513.67,147.25,False
1783186207510-7b18d37a,2026-07-04T17:30:07Z,function_calling,alto,baseline,3,3,9716.52,134.3,False
1783186216507-e12978bf,2026-07-04T17:30:16Z,function_calling,alto,baseline,3,3,8986.12,136.22,False
1783186224955-8390b65a,2026-07-04T17:30:24Z,function_calling,alto,baseline,3,3,8440.19,140.4,False
1783186236178-1b1b882d,2026-07-04T17:30:36Z,mcp,alto,baseline,3,3,9377.04,197.4,False
1783186244626-bb3b3d43,2026-07-04T17:30:44Z,mcp,alto,baseline,3,3,8237.38,166.25,False
1783186255946-a8aa827f,2026-07-04T17:30:55Z,mcp,alto,baseline,3,3,11056.26,171.44,False
1783186264158-9cd752ad,2026-07-04T17:31:04Z,mcp,alto,baseline,3,3,7916.11,177.01,False
1783186272643-a8f15161,2026-07-04T17:31:12Z,mcp,alto,baseline,3,3,8257.53,161.8,False

